local gate - Source voltage	Si gate - Source voltage	Rxx1 - X	Rxx1 - Y	Rxx1 - R	Rxx1 - theta	Rxx2 - X	Rxx2 - Y	Rxx2 - R	Rxx2 - theta	Current - Drain_Current_I	Current - Y	Current - R	Current - theta_Drain_current	Si gate - Current	local gate - Current	
V	V	V	V	V	deg	V	V	V	deg	A	V	V	deg	A	A	
%megasweep	Current - Drain_Current_I:0.0	Current - Frequency:19.100137711	Current - Input configuration:A	Current - Output amplitude:9.9999999748e-07	Current - R:0.0	Current - Sensitivity:500 uV/pA	Current - Time constant:300 ms	Current - Value:0j	Current - Y:0.0	Current - theta_Drain_current:0.0	Magnet - Current field:0.0	Magnet - Field set point:8.0	Magnet - Persistent switch heater:0.0	Magnet - Rate:0.05	Magnet - SwitchHeaterDelay:20.0	Rxx1 - Frequency:13.1	Rxx1 - Input configuration:A-B	Rxx1 - Output amplitude:0.5	Rxx1 - R:0.0	Rxx1 - Sensitivity:1 mV/nA	Rxx1 - Time constant:300 ms	Rxx1 - Value:0j	Rxx1 - X:0.0	Rxx1 - Y:0.0	Rxx1 - theta:0.0	Rxx2 - Frequency:13.100039482	Rxx2 - Input configuration:A-B	Rxx2 - Output amplitude:0.0	Rxx2 - R:0.0	Rxx2 - Sensitivity:500 uV/pA	Rxx2 - Time constant:300 ms	Rxx2 - Value:0j	Rxx2 - X:0.0	Rxx2 - Y:0.0	Rxx2 - theta:0.0	Si gate - Current auto-range:True	Si gate - Current limit:1e-07	Si gate - Current:0.0	Si gate - Integration time (I):20 ms	Si gate - Measurement type:Current	Si gate - Output on:True	Si gate - Source type:Voltage	Si gate - Source voltage auto-range:False	Si gate - Source voltage range:21.0	Si gate - Source voltage:-2.4	local gate - Current auto-range:True	local gate - Current limit:1e-07	local gate - Current:0.0	local gate - Integration time (I):20 ms	local gate - Measurement type:Current	local gate - Output on:True	local gate - Source type:Voltage	local gate - Source voltage auto-range:False	local gate - Source voltage range:2.1	local gate - Source voltage:-1.0	

-1.000000000000000000e+00	-2.090000000000006519e+00	2.923353349615354091e-06	2.904229177147499286e-07	2.920922497651190497e-06	5.708016395568847656e+00	1.603771238478657324e-06	5.144030268411370344e-08	1.597739924363850150e-06	1.821498751640319824e+00	9.013534508994780481e-06	5.031869022786850110e-06	1.026673544402001426e-05	2.930137443542480469e+01	-4.876623993510520449e-09	-3.867210995878167523e-09
-1.000000000000000000e+00	-2.080000000000006732e+00	2.820870577124878764e-06	2.851657825431175297e-07	2.821001771735609509e-06	5.797257423400878906e+00	1.545050849927065428e-06	5.889684739912581790e-09	1.529935047983599361e-06	1.214475855231285095e-01	8.686621185916010290e-06	4.785915280081098899e-06	9.874754141492303461e-06	2.893083000183105469e+01	-4.838371037152455756e-09	-3.856777119892740302e-09
-1.000000000000000000e+00	-2.070000000000006946e+00	2.728036861299187876e-06	2.771325569028704194e-07	2.727433411564561538e-06	5.825012207031250000e+00	1.473851739319798071e-06	-1.830384377399241203e-08	1.465718810322869103e-06	-6.969405412673950195e-01	8.416075615969020873e-06	4.561047717288602144e-06	9.527750989946071059e-06	2.854885292053222656e+01	-4.802477082677114595e-09	-3.851436947144293299e-09
-1.000000000000000000e+00	-2.060000000000007159e+00	2.637239731484442018e-06	2.688445590592891676e-07	2.636774752318160608e-06	5.858440876007080078e+00	1.409214860359497834e-06	-5.934388092043718643e-09	1.397874711983604357e-06	-2.854267656803131104e-01	8.111273018585052341e-06	4.373721822048537433e-06	9.166334166366141289e-06	2.847617721557617188e+01	-4.769951100769276309e-09	-3.835748163538710287e-09
-1.000000000000000000e+00	-2.050000000000007372e+00	2.550325007177889347e-06	2.705924373458401533e-07	2.549380724303773604e-06	6.089604854583740234e+00	1.329669430560898036e-06	-2.628788564607020817e-08	1.322272851211891975e-06	-1.295304417610168457e+00	7.771180207782890648e-06	4.216363777231890708e-06	8.792194421403110027e-06	2.863804435729980469e+01	-4.733168079695815322e-09	-3.828835026808974362e-09
-1.000000000000000000e+00	-2.040000000000007585e+00	2.462245674905716442e-06	2.689026530333649134e-07	2.463800910845748149e-06	6.259467124938964844e+00	1.275535737477184739e-06	-8.105636339905686327e-08	1.265662945115764160e-06	-3.722396373748779297e+00	7.480341992049943656e-06	4.076620825799182057e-06	8.476244147459510714e-06	2.870584106445312500e+01	-4.692850108511947838e-09	-3.811493787253539267e-09
-1.000000000000000000e+00	-2.030000000000007798e+00	2.382771981501718983e-06	2.629637947393348441e-07	2.377878900006180629e-06	6.345605850219726562e+00	1.204334239446325228e-06	-1.054354115126443503e-07	1.198073391606158111e-06	-5.176208972930908203e+00	7.238451416924363002e-06	3.924617885786574334e-06	8.180769327736925334e-06	2.863751983642578125e+01	-4.660245078724756240e-09	-3.806106985138058008e-09
-1.000000000000000000e+00	-2.020000000000008011e+00	2.299679408679367043e-06	2.578295834609889425e-07	2.301920630998210981e-06	6.425785541534423828e+00	1.149197032646043226e-06	-1.061283185777028848e-07	1.142795326813939027e-06	-5.271350383758544922e+00	6.978726560191716999e-06	3.783823785852291621e-06	7.900795935711357743e-06	2.858228683471679688e+01	-4.624388871832252335e-09	-3.792325120599571164e-09
-1.000000000000000000e+00	-2.010000000000008225e+00	2.225136313427356072e-06	2.471834648076765006e-07	2.226487595180515200e-06	6.358694076538085938e+00	1.110271455218025949e-06	-6.620362569265125785e-08	1.110220182454213500e-06	-3.276168346405029297e+00	6.731344001309480518e-06	3.636876726886839606e-06	7.613078196300193667e-06	2.849311447143554688e+01	-4.586976132259223959e-09	-3.789144109589415166e-09
-1.000000000000000000e+00	-2.000000000000008438e+00	2.147550958397914656e-06	2.345167331441189162e-07	2.145774487871676683e-06	6.269713878631591797e+00	1.081359528143366333e-06	-1.007616567960667453e-08	1.075303998732124455e-06	-4.668758511543273926e-01	6.498054517578566447e-06	3.482969304968719371e-06	7.340395313804037869e-06	2.829251480102539062e+01	-4.551966803489904123e-09	-3.782996138568250899e-09
-1.000000000000000000e+00	-1.990000000000008651e+00	2.060578253804123960e-06	2.194717723114081309e-07	2.056772927971906029e-06	6.104661941528320312e+00	1.032704176395782270e-06	1.850947839443506382e-08	1.027340204018400982e-06	1.128152489662170410e+00	6.288370514084817842e-06	3.354420186951756477e-06	7.094341526681091636e-06	2.819706344604492188e+01	-4.518012186593978186e-09	-3.775958212770547107e-09
-1.000000000000000000e+00	-1.980000000000008864e+00	1.959526116479537450e-06	2.102539156112470664e-07	1.953994797077029943e-06	6.183124065399169922e+00	9.909377922667772509e-07	2.975464141741213098e-08	9.853465599007904530e-07	1.752595782279968262e+00	6.046864200470736250e-06	3.266226940468186513e-06	6.831690370745491236e-06	2.855152130126953125e+01	-4.482322957244377903e-09	-3.759843991701927735e-09
-1.000000000000000000e+00	-1.970000000000009077e+00	1.852908098953776062e-06	1.997955365595771582e-07	1.845691940616234206e-06	6.204724788665771484e+00	9.604298156773438677e-07	2.212599170547946414e-08	9.520537105345283635e-07	1.473713874816894531e+00	5.798227903142105788e-06	3.199234015482943505e-06	6.589379154320340604e-06	2.903570175170898438e+01	-4.446515156075747655e-09	-3.748564125771736144e-09
-1.000000000000000000e+00	-1.960000000000009290e+00	1.734779175421863329e-06	1.876585429272381589e-07	1.724912863210192882e-06	6.235547065734863281e+00	9.250068160326918587e-07	6.699711718738399213e-08	9.184655027638655156e-07	4.303236007690429688e+00	5.614118890662211925e-06	3.112084641543333419e-06	6.397143806680105627e-06	2.906422424316406250e+01	-4.414410170738847228e-09	-3.734911047104105819e-09
-1.000000000000000000e+00	-1.950000000000009504e+00	1.614327857168973424e-06	1.742229045476051397e-07	1.602247380105836783e-06	6.218915939331054688e+00	8.543730700694140978e-07	6.713122502333135344e-08	8.445160233350179624e-07	4.629310607910156250e+00	5.484480880113551393e-06	3.006043471032171510e-06	6.230276540009072050e-06	2.880017089843750000e+01	-4.376706108644157212e-09	-3.727321118418558399e-09
-1.000000000000000000e+00	-1.940000000000009717e+00	1.483174628447159193e-06	1.568622991499069030e-07	1.468592017772607505e-06	6.111738681793212891e+00	7.794656085025053471e-07	7.114336142421961995e-08	7.685048331040889025e-07	5.203306198120117188e+00	5.338094979379093274e-06	2.924589352915063500e-06	6.064432454877533019e-06	2.882497787475585938e+01	-4.340301007488278628e-09	-3.724522024128873454e-09
-1.000000000000000000e+00	-1.930000000000009930e+00	1.344797169622324873e-06	1.412741852391263819e-07	1.329943870587158017e-06	6.081217765808105469e+00	7.251643410199903883e-07	4.051700486229492526e-08	7.150538294808939099e-07	3.167676210403442383e+00	5.192048774915747344e-06	2.878053010135772638e-06	5.918024726270232350e-06	2.909149932861328125e+01	-4.307652901047731575e-09	-3.718543029052057136e-09
-1.000000000000000000e+00	-1.920000000000010143e+00	1.211446601701027248e-06	1.302927898905181792e-07	1.196294874716841150e-06	6.247092247009277344e+00	6.809570436416834127e-07	3.855452135326231655e-08	6.765255307072948199e-07	3.255184412002563477e+00	5.064652668806957081e-06	2.827625166901270859e-06	5.781625532108591869e-06	2.926681900024414062e+01	-4.271544895573242684e-09	-3.710104889975696096e-09
-1.000000000000000000e+00	-1.910000000000010356e+00	1.085498979591648094e-06	1.200020420810687938e-07	1.071736278390744701e-06	6.413975715637207031e+00	6.368503591147600673e-07	4.723817426111054374e-08	6.301403345787548460e-07	4.443585872650146484e+00	4.935184733767528087e-06	2.760263669188134372e-06	5.635135494230780751e-06	2.930982208251953125e+01	-4.235061190627220640e-09	-3.698696016130043063e-09
